Index,Title,Price,Link
2,HITMAN™ 2 - Free Starter Pack,Free,https://store.playstation.com/en-gb/product/EP3969-CUSA12414_00-STARTPACK0000000
3,HITMAN™ 2,£57.99,https://store.playstation.com/en-gb/product/EP3969-CUSA12414_00-HITMANSTANDARD00
5,HITMAN™ - GOTY Legacy Pack,Unavailable,https://store.playstation.com/en-gb/product/EP3969-CUSA12414_00-S1GOTY0000000000
13,HITMAN™ 2 - Gold Edition,£79.99,https://store.playstation.com/en-gb/product/EP3969-CUSA12414_00-HITMANGOLDBUNDLE
17,Hitman HD Enhanced Collection,£49.99,https://store.playstation.com/en-gb/product/EP3969-CUSA12659_00-HITMANHDENHANCED
