Index,Title,Price,Link
0,Darksiders III,£49.99,https://store.playstation.com/en-gb/product/EP4389-CUSA08798_00-DARKSIDERS3EU001
1,Darksiders Warmastered Edition,£15.99,https://store.playstation.com/en-gb/product/EP4389-CUSA05275_00-DARKSIDERSDEEU01
2,Darksiders II Deathinitive Edition,£24.99,https://store.playstation.com/en-gb/product/EP4389-CUSA02419_00-DARKSIDERS2PS4E1
3,Darksiders Genesis,£34.99,https://store.playstation.com/en-gb/product/EP4389-CUSA12979_00-DARKSIDERSSSEU00
4,Darksiders: Fury's Collection - War and Death,£34.99,https://store.playstation.com/en-gb/product/EP4389-CUSA05275_00-DSFURYSBUNDLEEU1
7,Darksiders III Blades & Whip Edition,£89.99,https://store.playstation.com/en-gb/product/EP4389-CUSA08798_00-DS3BLADESAWHIPD1
9,Darksiders III Digital Deluxe Edition,£69.99,https://store.playstation.com/en-gb/product/EP4389-CUSA08798_00-DS3DIGITALDELUXE
10,Battle Planet - Judgement Day,£7.99,https://store.playstation.com/en-gb/product/EP0841-CUSA15464_00-BATTLEPLANETEURO
