Index,Title,Price,Link
0,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,£6.39,https://store.playstation.com/en-gb/product/EP0700-CUSA02854_00-NARUTOUNS4000000
1,NARUTO TO BORUTO: SHINOBI STRIKER,£49.99,https://store.playstation.com/en-gb/product/EP0700-CUSA08767_00-SHINOBISTRIKER01
3,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,£39.99,https://store.playstation.com/en-gb/product/EP0700-CUSA06210_00-NARUTOUNS4RTB000
4,NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,£34.99,https://store.playstation.com/en-gb/product/EP0700-CUSA06291_00-NARUTOUNST000000
5,NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,£47.99,https://store.playstation.com/en-gb/product/EP0700-CUSA06291_00-NSUNSLEGACY00001
8,NARUTO: Ultimate Ninja STORM,£3.99,https://store.playstation.com/en-gb/product/EP0700-CUSA07160_00-NARUTOUNS1000000
9,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,£3.99,https://store.playstation.com/en-gb/product/EP0700-CUSA07162_00-NARUTOUNS2000000
12,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,£3.99,https://store.playstation.com/en-gb/product/EP0700-CUSA07161_00-NARUTOUNS3000000
14,NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,£6.49,https://store.playstation.com/en-gb/product/EP0700-CUSA08767_00-NTBSSDELUXEED000
