Index,Title,Price,Link
0,Watch Dogs®2,£49.99,https://store.playstation.com/en-gb/product/EP0001-CUSA04294_00-WD2FULLGAME00000
3,Watch Dogs®2 - Gold Edition,£79.99,https://store.playstation.com/en-gb/product/EP0001-CUSA04294_00-WD2GOLDPOSTLAUNC
8,Watch Dogs: Complete Edition,Unavailable,https://store.playstation.com/en-gb/product/EP0001-CUSA01395_00-WATCHDOGSGOTY001
9,WATCH_DOGS™ COMPLETE EDITION,£7.49,https://store.playstation.com/en-gb/product/EP0001-CUSA00016_00-000WATCHGOTY5699
19,Watch Dogs® 2 - Deluxe Edition,£12.59,https://store.playstation.com/en-gb/product/EP0001-CUSA04294_00-WD2DELUXEPOSTLAU
